Date,Tesla Model S,Tesla Model X,Tesla Model 3,Tesla Model Y
Q2 2016,9764,4638,0,0
Q3 2016,16047,8774,0,0
Q4 2016,12700,9500,0,0
Q1 2017,13481,11570,0,0
Q2 2017,12010,10010,0,0
Q3 2017,14065,11865,220,0
Q4 2017,15200,13120,1550,0
Q1 2018,11730,10070,8180,0
Q2 2018,10930,11370,18440,0
Q3 2018,14470,13190,55840,0
Q4 2018,13500,14050,63150,0
Q1 2019,6000,6100,50900,0
Q2 2019,8422,9300,77634,0
Q3 2019,8383,9100,79703,0
Q4 2019,8375,11100,92620,0
Q1 2020,4525,7705,73975,2291
Q2 2020,3927,6687,63793,16484
Q3 2020,4583,10693,94049,30269
Q4 2020,6060,12860,126624,35123
Q1 2021,1010,1010,115077,67780
Q2 2021,890,1000,110054,89360
Q3 2021,9000,275,111225,120800
Q4 2021,4050,7700,140000,156850
Q1 2022,7362,7362,129764,165560
Q2 2022,8081,8081,100066,138467
Q3 2022,7469,11203,120308,204850
Q4 2022,6344,10803,135846,252285
Q1 2023,3695,7000,132180,280000
Q2 2023,6225,13000,146915,300000
Q3 2023,5985,10000,117074,302000
