Date,Tesla,Ford-Lincoln,General Motors,Nissan-Infiniti,Volkswagen Group,Hyundai-Kia-Genesis,Subaru,Toyota-Lexus,Mercedes-Benz,Mazda,BMW,Jaguar,Stellantis,Volvo-Polestar,Rivian,Lucid,Vinfast
2021 Q1,69300,6614,9025,2925,6805,2829,0,0,0,0,340,0,0,435,0,0,0
2021 Q2,76230,6361,11263,4804,11675,4401,0,0,0,0,511,0,0,2153,0,0,0
2021 Q3,75509,5880,4515,2345,8357,5921,0,0,0,0,426,0,0,2430,0,0,0
2021 Q4,115248,8285,26,4165,9081,5246,0,0,443,0,199,1409,0,2986,920,125,0
2022 Q1,129743,6734,457,4371,7932,15480,0,0,2091,0,1171,0,0,3092,1227,460,0
2022 Q2,130047,15273,7217,3251,8961,17979,0,0,1959,0,1082,114,0,4518,4467,482,0
2022 Q3,114000,18257,15156,1276,11893,9796,0,240,2717,0,4337,0,0,3510,6584,1398,0
2022 Q4,131574,20339,16150,3308,15193,9641,919,985,5656,324,7099,298,0,5616,8054,1060,0
2023 Q1,161630,10866,20670,5214,15723,14346,1359,1840,5053,15,6585,8,0,5228,7946,1368,110
2023 Q2,175262,14843,15652,4215,13977,21696,1613,2893,9029,51,11990,80,0,7608,12640,1659,740
2023 Q3,156621,20962,20057,6074,20295,30757,2791,4221,10423,34,13594,86,0,7797,15564,1618,1159
2023 Q4,161375,25937,19469,5113,20403,25447,3109,5718,10767,0,15364,78,0,6531,13553,1512,1120
